OBS,DX_CD,DX_DSC
5387,M08059,"Unspecified juvenile rheumatoid arthritis, unspecified hip"
5388,M08061,"Unspecified juvenile rheumatoid arthritis, right knee"
5389,M08062,"Unspecified juvenile rheumatoid arthritis, left knee"
5390,M08069,"Unspecified juvenile rheumatoid arthritis, unspecified knee"
5391,M08071,"Unspecified juvenile rheumatoid arthritis, right ankle and foot"
5392,M08072,"Unspecified juvenile rheumatoid arthritis, left ankle and foot"
5393,M08079,"Unspecified juvenile rheumatoid arthritis, unspecified ankle and foot"
5394,M0808,"Unspecified juvenile rheumatoid arthritis, vertebrae"
5395,M0809,"Unspecified juvenile rheumatoid arthritis, multiple sites"
5396,M080A,"Unspecified juvenile rheumatoid arthritis, other specified site"
5397,M081,Juvenile ankylosing spondylitis
5398,M0820,"Juvenile rheumatoid arthritis with systemic onset, unspecified site"
5399,M08211,"Juvenile rheumatoid arthritis with systemic onset, right shoulder"
5400,M08212,"Juvenile rheumatoid arthritis with systemic onset, left shoulder"
5401,M08219,"Juvenile rheumatoid arthritis with systemic onset, unspecified shoulder"
5402,M08221,"Juvenile rheumatoid arthritis with systemic onset, right elbow"
5403,M08222,"Juvenile rheumatoid arthritis with systemic onset, left elbow"
5404,M08229,"Juvenile rheumatoid arthritis with systemic onset, unspecified elbow"
5405,M08231,"Juvenile rheumatoid arthritis with systemic onset, right wrist"
5406,M08232,"Juvenile rheumatoid arthritis with systemic onset, left wrist"
5407,M08239,"Juvenile rheumatoid arthritis with systemic onset, unspecified wrist"
5408,M08241,"Juvenile rheumatoid arthritis with systemic onset, right hand"
5409,M08242,"Juvenile rheumatoid arthritis with systemic onset, left hand"
5410,M08249,"Juvenile rheumatoid arthritis with systemic onset, unspecified hand"
5411,M08251,"Juvenile rheumatoid arthritis with systemic onset, right hip"
5412,M08252,"Juvenile rheumatoid arthritis with systemic onset, left hip"
5413,M08259,"Juvenile rheumatoid arthritis with systemic onset, unspecified hip"
5414,M08261,"Juvenile rheumatoid arthritis with systemic onset, right knee"
5415,M08262,"Juvenile rheumatoid arthritis with systemic onset, left knee"
5416,M08269,"Juvenile rheumatoid arthritis with systemic onset, unspecified knee"
5417,M08271,"Juvenile rheumatoid arthritis with systemic onset, right ankle and foot"
5418,M08272,"Juvenile rheumatoid arthritis with systemic onset, left ankle and foot"
5419,M08279,"Juvenile rheumatoid arthritis with systemic onset, unspecified ankle and foot"
5420,M0828,"Juvenile rheumatoid arthritis with systemic onset, vertebrae"
5421,M0829,"Juvenile rheumatoid arthritis with systemic onset, multiple sites"
5422,M082A,"Juvenile rheumatoid arthritis with systemic onset, other specified site"
5423,M083,Juvenile rheumatoid polyarthritis (seronegative)
5424,M0840,"Pauciarticular juvenile rheumatoid arthritis, unspecified site"
5425,M08411,"Pauciarticular juvenile rheumatoid arthritis, right shoulder"
5426,M08412,"Pauciarticular juvenile rheumatoid arthritis, left shoulder"
5427,M08419,"Pauciarticular juvenile rheumatoid arthritis, unspecified shoulder"
5428,M08421,"Pauciarticular juvenile rheumatoid arthritis, right elbow"
5429,M08422,"Pauciarticular juvenile rheumatoid arthritis, left elbow"
5430,M08429,"Pauciarticular juvenile rheumatoid arthritis, unspecified elbow"
5431,M08431,"Pauciarticular juvenile rheumatoid arthritis, right wrist"
5432,M08432,"Pauciarticular juvenile rheumatoid arthritis, left wrist"
5433,M08439,"Pauciarticular juvenile rheumatoid arthritis, unspecified wrist"
5434,M08441,"Pauciarticular juvenile rheumatoid arthritis, right hand"
5435,M08442,"Pauciarticular juvenile rheumatoid arthritis, left hand"
5436,M08449,"Pauciarticular juvenile rheumatoid arthritis, unspecified hand"
5437,M08451,"Pauciarticular juvenile rheumatoid arthritis, right hip"
5438,M08452,"Pauciarticular juvenile rheumatoid arthritis, left hip"
5439,M08459,"Pauciarticular juvenile rheumatoid arthritis, unspecified hip"
5440,M08461,"Pauciarticular juvenile rheumatoid arthritis, right knee"
5441,M08462,"Pauciarticular juvenile rheumatoid arthritis, left knee"
5442,M08469,"Pauciarticular juvenile rheumatoid arthritis, unspecified knee"
5443,M08471,"Pauciarticular juvenile rheumatoid arthritis, right ankle and foot"
5444,M08472,"Pauciarticular juvenile rheumatoid arthritis, left ankle and foot"
5445,M08479,"Pauciarticular juvenile rheumatoid arthritis, unspecified ankle and foot"
5446,M0848,"Pauciarticular juvenile rheumatoid arthritis, vertebrae"
5447,M084A,"Pauciarticular juvenile rheumatoid arthritis, other specified site"
5448,M0880,"Other juvenile arthritis, unspecified site"
5449,M08811,"Other juvenile arthritis, right shoulder"
5450,M08812,"Other juvenile arthritis, left shoulder"
5451,M08819,"Other juvenile arthritis, unspecified shoulder"
5452,M08821,"Other juvenile arthritis, right elbow"
5453,M08822,"Other juvenile arthritis, left elbow"
5454,M08829,"Other juvenile arthritis, unspecified elbow"
5455,M08831,"Other juvenile arthritis, right wrist"
5456,M08832,"Other juvenile arthritis, left wrist"
5457,M08839,"Other juvenile arthritis, unspecified wrist"
5458,M08841,"Other juvenile arthritis, right hand"
5459,M08842,"Other juvenile arthritis, left hand"
5460,M08849,"Other juvenile arthritis, unspecified hand"
5461,M08851,"Other juvenile arthritis, right hip"
5462,M08852,"Other juvenile arthritis, left hip"
5463,M08859,"Other juvenile arthritis, unspecified hip"
5464,M08861,"Other juvenile arthritis, right knee"
5465,M08862,"Other juvenile arthritis, left knee"
5466,M08869,"Other juvenile arthritis, unspecified knee"
5467,M08871,"Other juvenile arthritis, right ankle and foot"
5468,M08872,"Other juvenile arthritis, left ankle and foot"
5469,M08879,"Other juvenile arthritis, unspecified ankle and foot"
5470,M0888,"Other juvenile arthritis, other specified site"
5471,M0889,"Other juvenile arthritis, multiple sites"
5472,M0890,"Juvenile arthritis, unspecified, unspecified site"
5473,M08911,"Juvenile arthritis, unspecified, right shoulder"
5474,M08912,"Juvenile arthritis, unspecified, left shoulder"
5475,M08919,"Juvenile arthritis, unspecified, unspecified shoulder"
5476,M08921,"Juvenile arthritis, unspecified, right elbow"
5477,M08922,"Juvenile arthritis, unspecified, left elbow"
5478,M08929,"Juvenile arthritis, unspecified, unspecified elbow"
5479,M08931,"Juvenile arthritis, unspecified, right wrist"
5480,M08932,"Juvenile arthritis, unspecified, left wrist"
5481,M08939,"Juvenile arthritis, unspecified, unspecified wrist"
5482,M08941,"Juvenile arthritis, unspecified, right hand"
5483,M08942,"Juvenile arthritis, unspecified, left hand"
5484,M08949,"Juvenile arthritis, unspecified, unspecified hand"
5485,M08951,"Juvenile arthritis, unspecified, right hip"
5486,M08952,"Juvenile arthritis, unspecified, left hip"
5487,M08959,"Juvenile arthritis, unspecified, unspecified hip"
5488,M08961,"Juvenile arthritis, unspecified, right knee"
5489,M08962,"Juvenile arthritis, unspecified, left knee"
5490,M08969,"Juvenile arthritis, unspecified, unspecified knee"
5491,M08971,"Juvenile arthritis, unspecified, right ankle and foot"
5492,M08972,"Juvenile arthritis, unspecified, left ankle and foot"
5493,M08979,"Juvenile arthritis, unspecified, unspecified ankle and foot"
5494,M0898,"Juvenile arthritis, unspecified, vertebrae"
5495,M0899,"Juvenile arthritis, unspecified, multiple sites"
5496,M089A,"Juvenile arthritis, unspecified, other specified site"
5497,M1200,"Chronic postrheumatic arthropathy [Jaccoud], unspecified site"
5498,M12011,"Chronic postrheumatic arthropathy [Jaccoud], right shoulder"
5499,M12012,"Chronic postrheumatic arthropathy [Jaccoud], left shoulder"
5500,M12019,"Chronic postrheumatic arthropathy [Jaccoud], unspecified shoulder"
5501,M12021,"Chronic postrheumatic arthropathy [Jaccoud], right elbow"
5502,M12022,"Chronic postrheumatic arthropathy [Jaccoud], left elbow"
5503,M12029,"Chronic postrheumatic arthropathy [Jaccoud], unspecified elbow"
5504,M12031,"Chronic postrheumatic arthropathy [Jaccoud], right wrist"
5505,M12032,"Chronic postrheumatic arthropathy [Jaccoud], left wrist"
5506,M12039,"Chronic postrheumatic arthropathy [Jaccoud], unspecified wrist"
5507,M12041,"Chronic postrheumatic arthropathy [Jaccoud], right hand"
5508,M12042,"Chronic postrheumatic arthropathy [Jaccoud], left hand"
5509,M12049,"Chronic postrheumatic arthropathy [Jaccoud], unspecified hand"
5510,M12051,"Chronic postrheumatic arthropathy [Jaccoud], right hip"
5511,M12052,"Chronic postrheumatic arthropathy [Jaccoud], left hip"
5512,M12059,"Chronic postrheumatic arthropathy [Jaccoud], unspecified hip"
5513,M12061,"Chronic postrheumatic arthropathy [Jaccoud], right knee"
5514,M12062,"Chronic postrheumatic arthropathy [Jaccoud], left knee"
5515,M12069,"Chronic postrheumatic arthropathy [Jaccoud], unspecified knee"
5516,M12071,"Chronic postrheumatic arthropathy [Jaccoud], right ankle and foot"
5517,M12072,"Chronic postrheumatic arthropathy [Jaccoud], left ankle and foot"
5518,M12079,"Chronic postrheumatic arthropathy [Jaccoud], unspecified ankle and foot"
5519,M1208,"Chronic postrheumatic arthropathy [Jaccoud], other specified site"
5520,M1209,"Chronic postrheumatic arthropathy [Jaccoud], multiple sites"
5521,M300,Polyarteritis nodosa
5522,M301,Polyarteritis with lung involvement [Churg-Strauss]
5523,M302,Juvenile polyarteritis
5524,M303,Mucocutaneous lymph node syndrome [Kawasaki]
5525,M308,Other conditions related to polyarteritis nodosa
5526,M310,Hypersensitivity angiitis
5527,M3110,"Thrombotic microangiopathy, unspecified"
5528,M3111,Hematopoietic stem cell transplantation-associated thrombotic microangiopathy [HSCT-TMA]
5529,M3119,Other thrombotic microangiopathy
5530,M312,Lethal midline granuloma
5531,M3130,Wegener's granulomatosis without renal involvement
5532,M3131,Wegener's granulomatosis with renal involvement
5533,M314,Aortic arch syndrome [Takayasu]
5534,M315,Giant cell arteritis with polymyalgia rheumatica
5535,M316,Other giant cell arteritis
5536,M317,Microscopic polyangiitis
5537,M320,Drug-induced systemic lupus erythematosus
5538,M3210,"Systemic lupus erythematosus, organ or system involvement unspecified"
5539,M3211,Endocarditis in systemic lupus erythematosus
5540,M3212,Pericarditis in systemic lupus erythematosus
5541,M3213,Lung involvement in systemic lupus erythematosus
5542,M3214,Glomerular disease in systemic lupus erythematosus
5543,M3215,Tubulo-interstitial nephropathy in systemic lupus erythematosus
5544,M3219,Other organ or system involvement in systemic lupus erythematosus
5545,M328,Other forms of systemic lupus erythematosus
5546,M329,"Systemic lupus erythematosus, unspecified"
5547,M3300,"Juvenile dermatomyositis, organ involvement unspecified"
5548,M3301,Juvenile dermatomyositis with respiratory involvement
5549,M3302,Juvenile dermatomyositis with myopathy
5550,M3303,Juvenile dermatomyositis without myopathy
5551,M3309,Juvenile dermatomyositis with other organ involvement
5552,M3310,"Other dermatomyositis, organ involvement unspecified"
5553,M3311,Other dermatomyositis with respiratory involvement
5554,M3312,Other dermatomyositis with myopathy
5555,M3313,Other dermatomyositis without myopathy
5556,M3319,Other dermatomyositis with other organ involvement
5557,M3320,"Polymyositis, organ involvement unspecified"
5558,M3321,Polymyositis with respiratory involvement
5559,M3322,Polymyositis with myopathy
5560,M3329,Polymyositis with other organ involvement
5561,M3390,"Dermatopolymyositis, unspecified, organ involvement unspecified"
5562,M3391,"Dermatopolymyositis, unspecified with respiratory involvement"
5563,M3392,"Dermatopolymyositis, unspecified with myopathy"
5564,M3393,"Dermatopolymyositis, unspecified without myopathy"
5565,M3399,"Dermatopolymyositis, unspecified with other organ involvement"
5566,M340,Progressive systemic sclerosis
5567,M341,CR(E)ST syndrome
5568,M342,Systemic sclerosis induced by drug and chemical
5569,M3481,Systemic sclerosis with lung involvement
5570,M3482,Systemic sclerosis with myopathy
5571,M3483,Systemic sclerosis with polyneuropathy
5572,M3489,Other systemic sclerosis
5573,M349,"Systemic sclerosis, unspecified"
5574,M3500,"Sjogren syndrome, unspecified"
5575,M3501,Sjogren syndrome with keratoconjunctivitis
5576,M3502,Sjogren syndrome with lung involvement
5577,M3503,Sjogren syndrome with myopathy
5578,M3504,Sjogren syndrome with tubulo-interstitial nephropathy
5579,M3505,Sjogren syndrome with inflammatory arthritis
5580,M3506,Sjogren syndrome with peripheral nervous system involvement
5581,M3507,Sjogren syndrome with central nervous system involvement
5582,M3508,Sjogren syndrome with gastrointestinal involvement
5583,M3509,Sjogren syndrome with other organ involvement
5584,M350A,Sjogren syndrome with glomerular disease
5585,M350B,Sjogren syndrome with vasculitis
5586,M350C,Sjogren syndrome with dental involvement
5587,M351,Other overlap syndromes
5588,M352,Behcet's disease
5589,M353,Polymyalgia rheumatica
5590,M355,Multifocal fibrosclerosis
5591,M3581,Multisystem inflammatory syndrome
5592,M3589,Other specified systemic involvement of connective tissue
5593,M359,"Systemic involvement of connective tissue, unspecified"
5594,M360,Dermato(poly)myositis in neoplastic disease
5595,M368,Systemic disorders of connective tissue in other diseases classified elsewhere
5596,M4200,"Juvenile osteochondrosis of spine, site unspecified"
5597,M4201,"Juvenile osteochondrosis of spine, occipito-atlanto-axial region"
5598,M4202,"Juvenile osteochondrosis of spine, cervical region"
5599,M4203,"Juvenile osteochondrosis of spine, cervicothoracic region"
5600,M4204,"Juvenile osteochondrosis of spine, thoracic region"
5601,M4205,"Juvenile osteochondrosis of spine, thoracolumbar region"
5602,M4206,"Juvenile osteochondrosis of spine, lumbar region"
5603,M4207,"Juvenile osteochondrosis of spine, lumbosacral region"
5604,M4208,"Juvenile osteochondrosis of spine, sacral and sacrococcygeal region"
5605,M4209,"Juvenile osteochondrosis of spine, multiple sites in spine"
5606,M450,Ankylosing spondylitis of multiple sites in spine
5607,M451,Ankylosing spondylitis of occipito-atlanto-axial region
5608,M452,Ankylosing spondylitis of cervical region
5609,M453,Ankylosing spondylitis of cervicothoracic region
5610,M454,Ankylosing spondylitis of thoracic region
5611,M455,Ankylosing spondylitis of thoracolumbar region
5612,M456,Ankylosing spondylitis lumbar region
5613,M457,Ankylosing spondylitis of lumbosacral region
5614,M458,Ankylosing spondylitis sacral and sacrococcygeal region
5615,M459,Ankylosing spondylitis of unspecified sites in spine
5616,M45A0,Non-radiographic axial spondyloarthritis of unspecified sites in spine
5617,M45A1,Non-radiographic axial spondyloarthritis of occipito-atlanto-axial region
5618,M45A2,Non-radiographic axial spondyloarthritis of cervical region
5619,M45A3,Non-radiographic axial spondyloarthritis of cervicothoracic region
5620,M45A4,Non-radiographic axial spondyloarthritis of thoracic region
5621,M45A5,Non-radiographic axial spondyloarthritis of thoracolumbar region
5622,M45A6,Non-radiographic axial spondyloarthritis of lumbar region
5623,M45A7,Non-radiographic axial spondyloarthritis of lumbosacral region
5624,M45A8,Non-radiographic axial spondyloarthritis of sacral and sacrococcygeal region
5625,M45AB,Non-radiographic axial spondyloarthritis of multiple sites in spine
5626,M4620,"Osteomyelitis of vertebra, site unspecified"
5627,M4621,"Osteomyelitis of vertebra, occipito-atlanto-axial region"
5628,M4622,"Osteomyelitis of vertebra, cervical region"
5629,M4623,"Osteomyelitis of vertebra, cervicothoracic region"
5630,M4624,"Osteomyelitis of vertebra, thoracic region"
5631,M4625,"Osteomyelitis of vertebra, thoracolumbar region"
5632,M4626,"Osteomyelitis of vertebra, lumbar region"
5633,M4627,"Osteomyelitis of vertebra, lumbosacral region"
5634,M4628,"Osteomyelitis of vertebra, sacral and sacrococcygeal region"
5635,M4630,"Infection of intervertebral disc (pyogenic), site unspecified"
5636,M4631,"Infection of intervertebral disc (pyogenic), occipito-atlanto-axial region"
5637,M4632,"Infection of intervertebral disc (pyogenic), cervical region"
5638,M4633,"Infection of intervertebral disc (pyogenic), cervicothoracic region"
5639,M4634,"Infection of intervertebral disc (pyogenic), thoracic region"
5640,M4635,"Infection of intervertebral disc (pyogenic), thoracolumbar region"
5641,M4636,"Infection of intervertebral disc (pyogenic), lumbar region"
5642,M4637,"Infection of intervertebral disc (pyogenic), lumbosacral region"
5643,M4638,"Infection of intervertebral disc (pyogenic), sacral and sacrococcygeal region"
5644,M4639,"Infection of intervertebral disc (pyogenic), multiple sites in spine"
5645,M4850XA,"Collapsed vertebra, not elsewhere classified, site unspecified, initial encounter for fracture"
5646,M4851XA,"Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region, initial encounter for fracture"
5647,M4852XA,"Collapsed vertebra, not elsewhere classified, cervical region, initial encounter for fracture"
5648,M4853XA,"Collapsed vertebra, not elsewhere classified, cervicothoracic region, initial encounter for fracture"
5649,M4854XA,"Collapsed vertebra, not elsewhere classified, thoracic region, initial encounter for fracture"
5650,M4855XA,"Collapsed vertebra, not elsewhere classified, thoracolumbar region, initial encounter for fracture"
5651,M4856XA,"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture"
5652,M4857XA,"Collapsed vertebra, not elsewhere classified, lumbosacral region, initial encounter for fracture"
5653,M4858XA,"Collapsed vertebra, not elsewhere classified, sacral and sacrococcygeal region, initial encounter for fracture"
5654,M488X1,"Other specified spondylopathies, occipito-atlanto-axial region"
5655,M488X2,"Other specified spondylopathies, cervical region"
5656,M488X3,"Other specified spondylopathies, cervicothoracic region"
5657,M488X4,"Other specified spondylopathies, thoracic region"
5658,M488X5,"Other specified spondylopathies, thoracolumbar region"
5659,M488X6,"Other specified spondylopathies, lumbar region"
5660,M488X7,"Other specified spondylopathies, lumbosacral region"
5661,M488X8,"Other specified spondylopathies, sacral and sacrococcygeal region"
5662,M488X9,"Other specified spondylopathies, site unspecified"
5663,M726,Necrotizing fasciitis
5664,M80051A,"Age-related osteoporosis with current pathological fracture, right femur, initial encounter for fracture"
5665,M80052A,"Age-related osteoporosis with current pathological fracture, left femur, initial encounter for fracture"
5666,M80059A,"Age-related osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture"
5667,M8008XA,"Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture"
5668,M80851A,"Other osteoporosis with current pathological fracture, right femur, initial encounter for fracture"
5669,M80852A,"Other osteoporosis with current pathological fracture, left femur, initial encounter for fracture"
5670,M80859A,"Other osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture"
5671,M8088XA,"Other osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture"
5672,M84451A,"Pathological fracture, right femur, initial encounter for fracture"
5673,M84452A,"Pathological fracture, left femur, initial encounter for fracture"
5674,M84453A,"Pathological fracture, unspecified femur, initial encounter for fracture"
5675,M84459A,"Pathological fracture, hip, unspecified, initial encounter for fracture"
5676,M84551A,"Pathological fracture in neoplastic disease, right femur, initial encounter for fracture"
5677,M84552A,"Pathological fracture in neoplastic disease, left femur, initial encounter for fracture"
5678,M84553A,"Pathological fracture in neoplastic disease, unspecified femur, initial encounter for fracture"
5679,M84559A,"Pathological fracture in neoplastic disease, hip, unspecified, initial encounter for fracture"
5680,M84651A,"Pathological fracture in other disease, right femur, initial encounter for fracture"
5681,M84652A,"Pathological fracture in other disease, left femur, initial encounter for fracture"
5682,M84653A,"Pathological fracture in other disease, unspecified femur, initial encounter for fracture"
5683,M84659A,"Pathological fracture in other disease, hip, unspecified, initial encounter for fracture"
5684,M84754A,"Complete transverse atypical femoral fracture, right leg, initial encounter for fracture"
5685,M84755A,"Complete transverse atypical femoral fracture, left leg, initial encounter for fracture"
5686,M84756A,"Complete transverse atypical femoral fracture, unspecified leg, initial encounter for fracture"
5687,M84757A,"Complete oblique atypical femoral fracture, right leg, initial encounter for fracture"
5688,M84758A,"Complete oblique atypical femoral fracture, left leg, initial encounter for fracture"
5689,M84759A,"Complete oblique atypical femoral fracture, unspecified leg, initial encounter for fracture"
5690,M8600,"Acute hematogenous osteomyelitis, unspecified site"
5691,M86011,"Acute hematogenous osteomyelitis, right shoulder"
5692,M86012,"Acute hematogenous osteomyelitis, left shoulder"
5693,M86019,"Acute hematogenous osteomyelitis, unspecified shoulder"
5694,M86021,"Acute hematogenous osteomyelitis, right humerus"
5695,M86022,"Acute hematogenous osteomyelitis, left humerus"
5696,M86029,"Acute hematogenous osteomyelitis, unspecified humerus"
5697,M86031,"Acute hematogenous osteomyelitis, right radius and ulna"
5698,M86032,"Acute hematogenous osteomyelitis, left radius and ulna"
5699,M86039,"Acute hematogenous osteomyelitis, unspecified radius and ulna"
5700,M86041,"Acute hematogenous osteomyelitis, right hand"
5701,M86042,"Acute hematogenous osteomyelitis, left hand"
5702,M86049,"Acute hematogenous osteomyelitis, unspecified hand"
5703,M86051,"Acute hematogenous osteomyelitis, right femur"
5704,M86052,"Acute hematogenous osteomyelitis, left femur"
5705,M86059,"Acute hematogenous osteomyelitis, unspecified femur"
5706,M86061,"Acute hematogenous osteomyelitis, right tibia and fibula"
5707,M86062,"Acute hematogenous osteomyelitis, left tibia and fibula"
5708,M86069,"Acute hematogenous osteomyelitis, unspecified tibia and fibula"
5709,M86071,"Acute hematogenous osteomyelitis, right ankle and foot"
5710,M86072,"Acute hematogenous osteomyelitis, left ankle and foot"
5711,M86079,"Acute hematogenous osteomyelitis, unspecified ankle and foot"
5712,M8608,"Acute hematogenous osteomyelitis, other sites"
5713,M8609,"Acute hematogenous osteomyelitis, multiple sites"
5714,M8610,"Other acute osteomyelitis, unspecified site"
5715,M86111,"Other acute osteomyelitis, right shoulder"
5716,M86112,"Other acute osteomyelitis, left shoulder"
5717,M86119,"Other acute osteomyelitis, unspecified shoulder"
5718,M86121,"Other acute osteomyelitis, right humerus"
5719,M86122,"Other acute osteomyelitis, left humerus"
5720,M86129,"Other acute osteomyelitis, unspecified humerus"
5721,M86131,"Other acute osteomyelitis, right radius and ulna"
5722,M86132,"Other acute osteomyelitis, left radius and ulna"
5723,M86139,"Other acute osteomyelitis, unspecified radius and ulna"
5724,M86141,"Other acute osteomyelitis, right hand"
5725,M86142,"Other acute osteomyelitis, left hand"
5726,M86149,"Other acute osteomyelitis, unspecified hand"
5727,M86151,"Other acute osteomyelitis, right femur"
5728,M86152,"Other acute osteomyelitis, left femur"
5729,M86159,"Other acute osteomyelitis, unspecified femur"
5730,M86161,"Other acute osteomyelitis, right tibia and fibula"
5731,M86162,"Other acute osteomyelitis, left tibia and fibula"
5732,M86169,"Other acute osteomyelitis, unspecified tibia and fibula"
5733,M86171,"Other acute osteomyelitis, right ankle and foot"
5734,M86172,"Other acute osteomyelitis, left ankle and foot"
5735,M86179,"Other acute osteomyelitis, unspecified ankle and foot"
5736,M8618,"Other acute osteomyelitis, other site"
5737,M8619,"Other acute osteomyelitis, multiple sites"
5738,M8620,"Subacute osteomyelitis, unspecified site"
5739,M86211,"Subacute osteomyelitis, right shoulder"
5740,M86212,"Subacute osteomyelitis, left shoulder"
5741,M86219,"Subacute osteomyelitis, unspecified shoulder"
5742,M86221,"Subacute osteomyelitis, right humerus"
5743,M86222,"Subacute osteomyelitis, left humerus"
5744,M86229,"Subacute osteomyelitis, unspecified humerus"
5745,M86231,"Subacute osteomyelitis, right radius and ulna"
5746,M86232,"Subacute osteomyelitis, left radius and ulna"
5747,M86239,"Subacute osteomyelitis, unspecified radius and ulna"
5748,M86241,"Subacute osteomyelitis, right hand"
5749,M86242,"Subacute osteomyelitis, left hand"
5750,M86249,"Subacute osteomyelitis, unspecified hand"
5751,M86251,"Subacute osteomyelitis, right femur"
5752,M86252,"Subacute osteomyelitis, left femur"
5753,M86259,"Subacute osteomyelitis, unspecified femur"
5754,M86261,"Subacute osteomyelitis, right tibia and fibula"
5755,M86262,"Subacute osteomyelitis, left tibia and fibula"
5756,M86269,"Subacute osteomyelitis, unspecified tibia and fibula"
5757,M86271,"Subacute osteomyelitis, right ankle and foot"
5758,M86272,"Subacute osteomyelitis, left ankle and foot"
5759,M86279,"Subacute osteomyelitis, unspecified ankle and foot"
5760,M8628,"Subacute osteomyelitis, other site"
5761,M8629,"Subacute osteomyelitis, multiple sites"
5762,M8630,"Chronic multifocal osteomyelitis, unspecified site"
5763,M86311,"Chronic multifocal osteomyelitis, right shoulder"
5764,M86312,"Chronic multifocal osteomyelitis, left shoulder"
5765,M86319,"Chronic multifocal osteomyelitis, unspecified shoulder"
5766,M86321,"Chronic multifocal osteomyelitis, right humerus"
5767,M86322,"Chronic multifocal osteomyelitis, left humerus"
5768,M86329,"Chronic multifocal osteomyelitis, unspecified humerus"
5769,M86331,"Chronic multifocal osteomyelitis, right radius and ulna"
5770,M86332,"Chronic multifocal osteomyelitis, left radius and ulna"
5771,M86339,"Chronic multifocal osteomyelitis, unspecified radius and ulna"
5772,M86341,"Chronic multifocal osteomyelitis, right hand"
5773,M86342,"Chronic multifocal osteomyelitis, left hand"
5774,M86349,"Chronic multifocal osteomyelitis, unspecified hand"
5775,M86351,"Chronic multifocal osteomyelitis, right femur"
5776,M86352,"Chronic multifocal osteomyelitis, left femur"
5777,M86359,"Chronic multifocal osteomyelitis, unspecified femur"
5778,M86361,"Chronic multifocal osteomyelitis, right tibia and fibula"
5779,M86362,"Chronic multifocal osteomyelitis, left tibia and fibula"
5780,M86369,"Chronic multifocal osteomyelitis, unspecified tibia and fibula"
5781,M86371,"Chronic multifocal osteomyelitis, right ankle and foot"
5782,M86372,"Chronic multifocal osteomyelitis, left ankle and foot"
5783,M86379,"Chronic multifocal osteomyelitis, unspecified ankle and foot"
5784,M8638,"Chronic multifocal osteomyelitis, other site"
5785,M8639,"Chronic multifocal osteomyelitis, multiple sites"
5786,M8640,"Chronic osteomyelitis with draining sinus, unspecified site"
5787,M86411,"Chronic osteomyelitis with draining sinus, right shoulder"
5788,M86412,"Chronic osteomyelitis with draining sinus, left shoulder"
5789,M86419,"Chronic osteomyelitis with draining sinus, unspecified shoulder"
5790,M86421,"Chronic osteomyelitis with draining sinus, right humerus"
5791,M86422,"Chronic osteomyelitis with draining sinus, left humerus"
5792,M86429,"Chronic osteomyelitis with draining sinus, unspecified humerus"
5793,M86431,"Chronic osteomyelitis with draining sinus, right radius and ulna"
5794,M86432,"Chronic osteomyelitis with draining sinus, left radius and ulna"
5795,M86439,"Chronic osteomyelitis with draining sinus, unspecified radius and ulna"
5796,M86441,"Chronic osteomyelitis with draining sinus, right hand"
5797,M86442,"Chronic osteomyelitis with draining sinus, left hand"
5798,M86449,"Chronic osteomyelitis with draining sinus, unspecified hand"
5799,M86451,"Chronic osteomyelitis with draining sinus, right femur"
5800,M86452,"Chronic osteomyelitis with draining sinus, left femur"
5801,M86459,"Chronic osteomyelitis with draining sinus, unspecified femur"
5802,M86461,"Chronic osteomyelitis with draining sinus, right tibia and fibula"
5803,M86462,"Chronic osteomyelitis with draining sinus, left tibia and fibula"
5804,M86469,"Chronic osteomyelitis with draining sinus, unspecified tibia and fibula"
5805,M86471,"Chronic osteomyelitis with draining sinus, right ankle and foot"
5806,M86472,"Chronic osteomyelitis with draining sinus, left ankle and foot"
5807,M86479,"Chronic osteomyelitis with draining sinus, unspecified ankle and foot"
5808,M8648,"Chronic osteomyelitis with draining sinus, other site"
5809,M8649,"Chronic osteomyelitis with draining sinus, multiple sites"
5810,M8650,"Other chronic hematogenous osteomyelitis, unspecified site"
5811,M86511,"Other chronic hematogenous osteomyelitis, right shoulder"
5812,M86512,"Other chronic hematogenous osteomyelitis, left shoulder"
5813,M86519,"Other chronic hematogenous osteomyelitis, unspecified shoulder"
5814,M86521,"Other chronic hematogenous osteomyelitis, right humerus"
5815,M86522,"Other chronic hematogenous osteomyelitis, left humerus"
5816,M86529,"Other chronic hematogenous osteomyelitis, unspecified humerus"
5817,M86531,"Other chronic hematogenous osteomyelitis, right radius and ulna"
5818,M86532,"Other chronic hematogenous osteomyelitis, left radius and ulna"
5819,M86539,"Other chronic hematogenous osteomyelitis, unspecified radius and ulna"
5820,M86541,"Other chronic hematogenous osteomyelitis, right hand"
5821,M86542,"Other chronic hematogenous osteomyelitis, left hand"
5822,M86549,"Other chronic hematogenous osteomyelitis, unspecified hand"
5823,M86551,"Other chronic hematogenous osteomyelitis, right femur"
5824,M86552,"Other chronic hematogenous osteomyelitis, left femur"
5825,M86559,"Other chronic hematogenous osteomyelitis, unspecified femur"
